id,date,user,pc,file_tree,activity
{C2B9-J9JG13GF-1108VVNA},01-02-2010 16:56,CAH0440,PC-7210,,Disconnect
{W9M8-E9EP55NR-7934BXGR},01-02-2010 16:57,RGB1235,PC-0496,,Disconnect
{H2Y7-Z8II79ND-1132TKCK},01-02-2010 16:58,CWG3213,PC-3912,,Disconnect
{P7N1-W9SA60NX-0713EXMX},01-02-2010 17:00,IJO2659,PC-9331,,Disconnect
{C4W3-U9KT11UA-1736QHXR},01-02-2010 17:01,VXR0344,PC-4646,R:\;R:\14l9ZR4;R:\37j9sb4;R:\49WD783;R:\VXR0344,Connect
{Z2P2-I1JP90RY-8646GHAP},01-02-2010 17:02,BEB2949,PC-1111,R:\;R:\12w3ph4;R:\166wt79;R:\253ZM69;R:\BEB2949,Connect
{F4F0-E0BQ85ZJ-5690KGRT},01-02-2010 17:02,DTR3804,PC-1960,R:\;R:\DTR3804,Connect
{D5N7-W1QU01DS-5765IIIS},01-02-2010 17:03,IJO2659,PC-9331,R:\;R:\821Jb39;R:\86R6p95;R:\IJO2659,Connect
{V3N2-J4MM79QI-1276YJVC},01-02-2010 17:04,DNH3656,PC-3452,,Disconnect
{U6C6-D1PG32HF-1389HADG},01-02-2010 17:07,IJO2659,PC-9331,,Disconnect
{F7B9-A1YJ23SY-5954GAQR},01-02-2010 17:07,DNR3831,PC-3125,R:\;R:\DNR3831,Connect
{U2U0-Y1MR11IM-4144MTGY},01-02-2010 17:07,DNR3831,PC-3125,,Disconnect
{N2T9-W1RC67HS-3086BDGX},01-02-2010 17:08,CAM3092,PC-6503,R:\;R:\21vz4D2;R:\384DG59;R:\54zD663;R:\61VcDz0;R:\CAM3092,Connect
{Y9T1-K9HM82RB-6513KLYP},01-02-2010 17:08,BEB2949,PC-1111,,Disconnect
{D3J3-I3FE01FR-5310GVQG},01-02-2010 17:10,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{X2T1-L0JL35QG-2780OZXD},01-02-2010 17:10,IJO2659,PC-9331,R:\;R:\821Jb39;R:\86R6p95;R:\IJO2659,Connect
{G6C4-B6BT10GF-1012WWVB},01-02-2010 17:13,IJO2659,PC-9331,,Disconnect
{H4S9-T1TH30QU-0681YVBU},01-02-2010 17:13,CAM3092,PC-6503,,Disconnect
{U5S4-C7LA64PE-1220XSPB},01-02-2010 17:16,DTR3804,PC-1960,,Disconnect
{D5V3-D5UI34BW-5337KNIG},01-02-2010 17:20,CTH1005,PC-6458,R:\;R:\37z9Q45;R:\87kPfG0;R:\CTH1005,Connect
{A6M6-J1HO22NL-3742ZILA},01-02-2010 17:23,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{T8H3-D6BJ21KB-8221LWBV},01-02-2010 17:24,ASF1622,PC-6097,,Disconnect
{X7T3-N0RR24ZQ-1777EVRY},01-02-2010 17:25,VXR0344,PC-4646,,Disconnect
{Q0E8-P0IC76HW-1211VECY},01-02-2010 17:25,IJO2659,PC-9331,R:\;R:\821Jb39;R:\86R6p95;R:\IJO2659,Connect
{R1S7-G7CS62KZ-1765PWGO},01-02-2010 17:25,IJO2659,PC-9331,,Disconnect
{D1L7-P1PH14CP-0651FLHB},01-02-2010 17:26,HCB3101,PC-4319,,Disconnect
{C9H9-N6SH89WZ-4928QNKB},01-02-2010 17:27,NCR1068,PC-9130,R:\;R:\NCR1068,Connect
{M8L7-U2GD11XR-0772JQCZ},01-02-2010 17:30,CTH1005,PC-6458,,Disconnect
{V0B8-J0RK36TV-2085AFWL},01-02-2010 17:31,NJM2246,PC-1208,,Disconnect
{F2D8-H6SQ02KB-5020JJNI},01-02-2010 17:35,AYA0285,PC-5225,R:\;R:\91w2D45;R:\AYA0285,Connect
{F3B9-G3OW92CC-2126YLBK},01-02-2010 17:36,CWG3213,PC-3912,,Disconnect
{E9F3-X2OB18CY-0708TOJW},01-02-2010 17:39,AOC1105,PC-2535,R:\;R:\28rfq71;R:\33ggt71;R:\45R9N95;R:\96pnnF0;R:\AOC1105,Connect
{C1W2-D2GV93FE-0513JLBW},01-02-2010 17:42,AOC1105,PC-2535,,Disconnect
{P6D5-B7TF66XJ-8109SZAE},01-02-2010 17:45,AYA0285,PC-5225,,Disconnect
{S6Z3-U1ME85QO-2292LPBF},01-02-2010 17:48,DIE1614,PC-1213,R:\;R:\29X36B6;R:\32p1fP4;R:\34czZ41;R:\DIE1614,Connect
{C2R2-V4AG79OB-3817FDEC},01-02-2010 17:48,CTH1005,PC-6458,R:\;R:\37z9Q45;R:\87kPfG0;R:\CTH1005,Connect
{P3J9-J0DP86JZ-5183IRUJ},01-02-2010 17:49,CTH1005,PC-6458,,Disconnect
{L5A3-B1QT96YW-3583YZFO},01-02-2010 17:52,DIE1614,PC-1213,,Disconnect
{L8C7-J9HU09TR-1662OJEC},01-02-2010 17:54,PWE1562,PC-5650,R:\;R:\59D6f25;R:\62lk5g2;R:\63y63T6;R:\PWE1562,Connect
{U6Y4-Y1ON00XN-0369VZTD},01-02-2010 17:56,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{I7N5-X9DL51QN-2511FSNX},01-02-2010 18:04,PWE1562,PC-5650,,Disconnect
{W3X6-G7PA05JO-9583DHHJ},01-02-2010 18:18,CWG3213,PC-3912,,Disconnect
{R1U0-M9IY38SS-0285RUOD},01-02-2010 18:18,NCR1068,PC-9130,,Disconnect
{R5T5-Y5VD85ER-9834TWBE},01-02-2010 18:41,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{N6U5-R7PA53GG-6461TNTA},01-02-2010 18:54,ASF1622,PC-6097,,Disconnect
{A2K3-L3BE63FD-7010CXJH},01-02-2010 18:55,AOC1105,PC-2535,R:\;R:\28rfq71;R:\33ggt71;R:\45R9N95;R:\96pnnF0;R:\AOC1105,Connect
{Q3A4-U4CD37PB-8360WJVJ},01-02-2010 18:55,AOC1105,PC-2535,,Disconnect
{P1A1-S8UG51TH-4527OCIE},01-02-2010 22:25,TRH1062,PC-5320,R:\;R:\99Pp1p2;R:\TRH1062,Connect
{K9E1-Q1OG07BF-8908LVES},01-02-2010 22:25,TRH1062,PC-5320,,Disconnect
{L6E1-W2RB26AI-6772BXXI},01-02-2010 22:37,TRH1062,PC-2898,R:\;R:\99Pp1p2;R:\TRH1062,Connect
{C2J4-G5CP58YG-1014EQNS},01-02-2010 22:38,TRH1062,PC-2898,,Disconnect
{I2P4-X3PI63QD-1015RMDP},01-02-2010 22:54,TRH1062,PC-9027,R:\;R:\99Pp1p2;R:\TRH1062,Connect
{R8I7-K1UT95OL-2878MQNK},01-02-2010 22:55,TRH1062,PC-9027,,Disconnect
{A8R0-X8OA13WU-0680WVWT},01-03-2010 04:03,TCS0045,PC-1569,R:\;R:\52V7g55;R:\TCS0045,Connect
{K9I4-W4KV65NI-4449HDWF},01-03-2010 04:03,TCS0045,PC-1569,,Disconnect
{E8Y2-T9EW70MG-7157WJCY},01-03-2010 07:29,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{P1D3-D8BW78NO-4982UMGN},01-03-2010 07:31,MLH3474,PC-9596,R:\;R:\59k9HK4;R:\MLH3474,Connect
{E3M9-U6VV28HB-0192XLQT},01-03-2010 07:33,MLH3474,PC-9596,,Disconnect
{C2O2-N4JU40ZI-3612CDKA},01-03-2010 07:35,CYR2947,PC-5538,R:\;R:\46j4627;R:\75sS5W2;R:\895zK59;R:\96Z8lQ4;R:\CYR2947,Connect
{L1S2-L9PV48XQ-1921UJDU},01-03-2010 07:36,SBB1748,PC-3684,,Disconnect
{Y9W3-S9GZ04ZW-3941XCNE},01-03-2010 07:39,AKW1191,PC-5242,R:\;R:\27HvN71;R:\899YC59;R:\AKW1191,Connect
{G0C1-O3HL35TW-7371ZDAI},01-03-2010 07:41,MLH3474,PC-9596,R:\;R:\59k9HK4;R:\MLH3474,Connect
{T6D0-J0XF78FZ-7517JREZ},01-03-2010 07:41,RAC2950,PC-0671,R:\;R:\23JXGz0;R:\544Nf19;R:\54Z6K15;R:\86qT7S2;R:\RAC2950,Connect
{B4G1-K0LP67ZO-2284NXZJ},01-03-2010 07:42,NAK1843,PC-4613,R:\;R:\64jJ853;R:\NAK1843,Connect
{E6Z1-Q6RV40XV-7794UTSU},01-03-2010 07:47,HBN0384,PC-9145,R:\;R:\48w7Bt4;R:\741rfN8;R:\HBN0384,Connect
{S0F8-G3VH39AN-3510JCAL},01-03-2010 07:47,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{P5C7-W6JJ33FR-5154CAMO},01-03-2010 07:48,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{L1V9-B0SH31FQ-8016ESFF},01-03-2010 07:48,MLH3474,PC-9596,,Disconnect
{E9K6-O7VF18LD-8161RCJE},01-03-2010 07:49,YRS2977,PC-4256,,Disconnect
{B2M8-H2JD24WQ-9409GPXF},01-03-2010 07:49,LFR2971,PC-4611,R:\;R:\68R5377;R:\96Hfr61;R:\LFR2971,Connect
{R1S7-M9GW85CE-2340ZJOJ},01-03-2010 07:51,DIE1614,PC-1213,R:\;R:\29X36B6;R:\32p1fP4;R:\34czZ41;R:\DIE1614,Connect
{D6H8-O4BL49KC-2439DDUI},01-03-2010 07:51,AKW1191,PC-5242,,Disconnect
{G1P7-Q9XL04DN-8045TRWJ},01-03-2010 07:52,SCF2666,PC-3577,R:\;R:\95v71K6;R:\SCF2666,Connect
{R3E3-Z0CV29YL-4306PVBU},01-03-2010 07:53,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{F7R6-I8LD94NA-6414NMPZ},01-03-2010 07:55,FOG0204,PC-3042,R:\;R:\28d8SD4;R:\41Knrn0;R:\FOG0204,Connect
{P3F6-B8EZ01BN-8986PXIL},01-03-2010 07:55,AKC0847,PC-3176,R:\;R:\31S2947;R:\AKC0847,Connect
{L5P3-G4BO75IN-4494TAEH},01-03-2010 07:55,YRS2977,PC-4256,,Disconnect
{R7N9-D8IW58PF-5537ZSYN},01-03-2010 07:58,RRD0203,PC-5217,R:\;R:\29GX673;R:\61yd8m2;R:\83zNWq0;R:\RRD0203,Connect
{S1A9-W2CN48FE-7203QZGN},01-03-2010 07:58,SCF2666,PC-3577,,Disconnect
{R1N6-K7UZ27CH-1031JTLO},01-03-2010 08:02,CYR2947,PC-5538,,Disconnect
{R2W1-X6PW11AF-6302GSUY},01-03-2010 08:05,ERW2323,PC-9338,R:\;R:\38Tz4T2;R:\83hX233;R:\ERW2323,Connect
{G0U8-A0TJ53DF-1766HOXE},01-03-2010 08:05,SBB1748,PC-3684,,Disconnect
{Q2N4-S7WI24NB-9127UOYS},01-03-2010 08:08,AKW1191,PC-5242,R:\;R:\27HvN71;R:\899YC59;R:\AKW1191,Connect
{K9H4-Q2FV79ON-7784QNVD},01-03-2010 08:11,RPW0421,PC-2218,R:\;R:\RPW0421,Connect
{D3E2-T4VS06LB-5500YDGQ},01-03-2010 08:11,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{S2C5-V6TH52PA-4190THRH},01-03-2010 08:14,JJH1334,PC-3020,R:\;R:\13D6MS4;R:\45fH323;R:\52mJ243;R:\62pyf21;R:\JJH1334,Connect
{X9U9-F1QT89YU-1310FTUI},01-03-2010 08:16,RGB1235,PC-0496,R:\;R:\RGB1235,Connect
{Z8G4-Y3JF81SI-6585XQFA},01-03-2010 08:17,RRD0203,PC-5217,,Disconnect
{P1I2-C1OX42ZZ-6457XQYB},01-03-2010 08:17,WMM1386,PC-1405,R:\;R:\33c69m6;R:\WMM1386,Connect
{B7C3-W6CH07GC-4504FYQE},01-03-2010 08:17,YRS2977,PC-4256,,Disconnect
{E5C9-G0BB30ZF-5879ZDDE},01-03-2010 08:18,RGB1235,PC-0496,,Disconnect
{S6C2-W4QR56XP-5057SWML},01-03-2010 08:18,BZD3640,PC-3239,R:\;R:\62Jjtk0;R:\BZD3640,Connect
{H2S5-I1MN79SF-3607HYLB},01-03-2010 08:19,AYA0285,PC-5225,R:\;R:\91w2D45;R:\AYA0285,Connect
{K5L6-Q8RD10ZE-2626VHJL},01-03-2010 08:20,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{T7H7-X6BQ41EV-0785JVDP},01-03-2010 08:21,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{M7R2-B8KO56OS-9006ZTFS},01-03-2010 08:21,IJO2659,PC-9331,R:\;R:\821Jb39;R:\86R6p95;R:\IJO2659,Connect
{E5U9-A9IK89FS-0091NHFB},01-03-2010 08:22,RAC2950,PC-0671,,Disconnect
{P7B4-D1IX11ZH-4488YGRJ},01-03-2010 08:22,RRD0203,PC-5217,R:\;R:\29GX673;R:\61yd8m2;R:\83zNWq0;R:\RRD0203,Connect
{C3E3-X5HE07IL-5213YLBW},01-03-2010 08:24,IJO2659,PC-9331,,Disconnect
{F0Z8-H2AP59OD-2091HMBA},01-03-2010 08:25,ECH3561,PC-3694,R:\;R:\27XKf61;R:\ECH3561,Connect
{B5G1-H6WU18KW-5804EFVO},01-03-2010 08:25,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{T7R4-S0DL23AC-1848LWYG},01-03-2010 08:25,ASF1622,PC-6097,,Disconnect
{W2E4-K6ZQ84MF-6169CJRO},01-03-2010 08:27,RPW0421,PC-2218,,Disconnect
{L2K1-Q1GZ21HP-9576HYOM},01-03-2010 08:27,SBB1748,PC-3684,,Disconnect
{X1B4-P8CX17ZN-8762JVGM},01-03-2010 08:27,RGB1235,PC-0496,R:\;R:\RGB1235,Connect
{L5W9-P1BF20GF-4707RUPQ},01-03-2010 08:31,LFR2971,PC-4611,,Disconnect
{V2H9-Z4ZS99XM-3762APIU},01-03-2010 08:33,KAL3952,PC-7998,R:\;R:\17Z8J25;R:\35SR4r2;R:\869HD59;R:\KAL3952,Connect
{X2A9-R7YC14PF-1007GYRR},01-03-2010 08:36,LFR2971,PC-4611,R:\;R:\68R5377;R:\96Hfr61;R:\LFR2971,Connect
{N4G3-Y7LM90XB-9099XJZB},01-03-2010 08:37,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{U5L1-G0JL57ZG-4591RTHY},01-03-2010 08:37,RRD0203,PC-5217,,Disconnect
{F4H0-W5ML26PQ-5807BFMW},01-03-2010 08:37,DTR1323,PC-4277,,Disconnect
{K2D5-L7IH51PF-1007PBIC},01-03-2010 08:38,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{S5S9-U4LN90RM-3225VNKI},01-03-2010 08:39,CBO2061,PC-8819,R:\;R:\39fpWj0;R:\72gwk81;R:\84L54x6;R:\CBO2061,Connect
{F5G8-C1MF86AL-0877DMLK},01-03-2010 08:39,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{A4Q9-O1TW11YH-9167GDZU},01-03-2010 08:41,DIE1614,PC-1213,,Disconnect
{R6I9-V2QR64OT-8873NFRE},01-03-2010 08:43,AKC0847,PC-3176,,Disconnect
{R9K0-G7GP68IA-1333HYWW},01-03-2010 08:45,BZD3640,PC-3239,,Disconnect
{J8F7-B9SA08IB-3771IIKR},01-03-2010 08:48,WMM1386,PC-1405,,Disconnect
{T5F4-G2BX95RI-4215DQYV},01-03-2010 08:48,KAL3952,PC-7998,,Disconnect
{W2G2-F6TD93ST-1218EXOR},01-03-2010 08:48,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{K3A1-L6AS59MT-9850ECAQ},01-03-2010 08:48,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{J7Y7-G5RE81JM-6872GEIQ},01-03-2010 08:49,LFR2971,PC-4611,,Disconnect
{F0Y6-E1CM76BT-3414FYPF},01-03-2010 08:49,RPW0421,PC-2218,R:\;R:\RPW0421,Connect
{H3P7-Q1IH66PV-8890FLVF},01-03-2010 08:50,ECH3561,PC-3694,,Disconnect
{P3H0-D8EG87VE-3858NVEX},01-03-2010 08:53,SBB1748,PC-3684,,Disconnect
{H1B1-Y2JS95VH-2167TSUB},01-03-2010 08:54,VXR0344,PC-4646,R:\;R:\14l9ZR4;R:\37j9sb4;R:\49WD783;R:\VXR0344,Connect
{E9D4-T1KW93YU-0943LGYK},01-03-2010 08:55,YRS2977,PC-4256,,Disconnect
{I6C0-U1CF01XC-3485ACVP},01-03-2010 08:55,ESN1173,PC-1645,R:\;R:\ESN1173,Connect
{L1C5-S0UB94UN-0678GDYJ},01-03-2010 08:56,AKW1191,PC-5242,,Disconnect
{F6X1-C3QV28EF-5116PWZM},01-03-2010 08:56,BZD3640,PC-3239,R:\;R:\62Jjtk0;R:\BZD3640,Connect
{B2N8-Y8PL75CD-0105MUXU},01-03-2010 08:57,RGB1235,PC-0496,,Disconnect
{S2T8-I5EH23XC-1456WBCS},01-03-2010 08:57,JCL2626,PC-9929,,Disconnect
{B8Y0-N0ZK71GD-9913BKBO},01-03-2010 08:58,JCC3201,PC-8554,R:\;R:\24txN51;R:\JCC3201,Connect
{J9R4-C0NL97PX-0332KZMJ},01-03-2010 08:58,KAS3814,PC-0717,R:\;R:\KAS3814,Connect
{Y8A6-K9HV01KN-4459ALRB},01-03-2010 08:59,IJO2659,PC-9331,R:\;R:\821Jb39;R:\86R6p95;R:\IJO2659,Connect
{D6Z8-A5EF20XF-2739INNB},01-03-2010 09:00,IJO2659,PC-9331,,Disconnect
{V2K6-P9OK39TV-5737TIBA},01-03-2010 09:00,RJS0853,PC-9388,R:\;R:\133SJD8;R:\82Q3L75;R:\87Xy623;R:\RJS0853,Connect
{Y0L8-R2NO03NT-8012YDAK},01-03-2010 09:00,AYA0285,PC-5225,,Disconnect
{O9A9-H6EY71VB-6649OXQY},01-03-2010 09:02,DNH3656,PC-3452,R:\;R:\37d69w6;R:\DNH3656,Connect
{D7N1-T3LQ41YM-7268UAXA},01-03-2010 09:03,RJS0853,PC-9388,,Disconnect
{J3G7-J0FP41TV-4090ODJB},01-03-2010 09:04,DNH3656,PC-3452,,Disconnect
{J5Y2-S7SO48ZB-9771EDNH},01-03-2010 09:05,DIE1614,PC-1213,R:\;R:\29X36B6;R:\32p1fP4;R:\34czZ41;R:\DIE1614,Connect
{I8H5-M3SQ05OK-3669VAQK},01-03-2010 09:06,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{V3I2-W1MR79CT-2671ROSY},01-03-2010 09:08,KAS3814,PC-0717,,Disconnect
{Y5P8-S7BY16TJ-6483YUHY},01-03-2010 09:09,WWS0210,PC-9019,R:\;R:\34NWK51;R:\63vv7m2;R:\96rXkl0;R:\WWS0210,Connect
{S3I9-L5UF13OC-5200FOEG},01-03-2010 09:10,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{I2H9-C0PY99TO-7026IWXT},01-03-2010 09:10,ASF1622,PC-6097,,Disconnect
{J3M3-G8WO98PB-9060QKWM},01-03-2010 09:10,AYA0285,PC-5225,R:\;R:\91w2D45;R:\AYA0285,Connect
{J8J9-G6IE30QR-9316CBQI},01-03-2010 09:10,GHH2754,PC-9869,R:\;R:\38X1517;R:\46N5Yb4;R:\54gH4b2;R:\67R2y35;R:\GHH2754,Connect
{B6I4-M2YS00MZ-4613WZYL},01-03-2010 09:10,ESN1173,PC-1645,,Disconnect
{Y8D7-Y9EU69QY-4019AVCN},01-03-2010 09:11,NAK1843,PC-4613,,Disconnect
{G4Y5-F5QU95EX-3415IEDD},01-03-2010 09:11,SBB1748,PC-3684,,Disconnect
{W1A4-W2RR33SJ-2507MEWV},01-03-2010 09:11,APO1524,PC-8823,R:\;R:\12m3CD4;R:\93hr2L2;R:\96v5p35;R:\APO1524,Connect
{N8E4-R3YH46XT-7208KKRR},01-03-2010 09:12,ERW2323,PC-9338,,Disconnect
{Z5J6-L2DT01ZO-0911HXKV},01-03-2010 09:12,FOG0204,PC-3042,,Disconnect
{Y8M3-A2RH93DG-8617WSDS},01-03-2010 09:12,VXR0344,PC-4646,,Disconnect
{T5A9-I3TG03FF-7911GYHG},01-03-2010 09:13,KKF0303,PC-3082,R:\;R:\61LK793;R:\KKF0303,Connect
{B5H4-G1ZV06AW-6695OLYZ},01-03-2010 09:13,JJH1334,PC-3020,,Disconnect
{C7J1-S5GJ20OO-8246SCOS},01-03-2010 09:14,RPW0421,PC-2218,,Disconnect
{X0B6-R0HC98NE-7855FTPN},01-03-2010 09:14,DTR1323,PC-4277,,Disconnect
{S2H9-I9JM19KZ-9007TZIW},01-03-2010 09:15,GHH2754,PC-9869,,Disconnect
{Q7I2-F7RU66MY-6405USLF},01-03-2010 09:15,WMM1386,PC-1405,R:\;R:\33c69m6;R:\WMM1386,Connect
{L1U7-X1DX24JG-0731EKPE},01-03-2010 09:15,PWE1562,PC-5650,R:\;R:\59D6f25;R:\62lk5g2;R:\63y63T6;R:\PWE1562,Connect
{K4P5-D3SY69ZX-5200HTGR},01-03-2010 09:18,RJL0609,PC-5036,R:\;R:\688qC99;R:\72YMKt0;R:\RJL0609,Connect
{X5R5-Q9MD83JO-3767ZIRW},01-03-2010 09:19,ODN0148,PC-3209,R:\;R:\693tWf8;R:\82m6vH4;R:\ODN0148,Connect
{K2Q8-V9VO70BP-8596KUCG},01-03-2010 09:20,CKG0305,PC-4087,R:\;R:\16hllp0;R:\49p9k25;R:\62Hk463;R:\88kvFx0;R:\CKG0305,Connect
{G8S0-H2MC91KG-2761OUNY},01-03-2010 09:21,BZD3640,PC-3239,,Disconnect
{Q2Y1-Q4YQ98ES-3493HEHX},01-03-2010 09:21,WWS0210,PC-9019,,Disconnect
{F4L2-B0GO25CJ-0507NLTH},01-03-2010 09:21,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{O4O6-B5WI13IF-0457HEMU},01-03-2010 09:22,CXM3019,PC-1100,R:\;R:\18qsMx0;R:\47KY653;R:\53LNF11;R:\845kr39;R:\CXM3019,Connect
{L6P1-E9TW92WP-2687WDOV},01-03-2010 09:22,CXM3019,PC-1100,,Disconnect
{B9X5-N6HC70OO-1319BRHY},01-03-2010 09:25,RGB1235,PC-0496,R:\;R:\RGB1235,Connect
{S9D1-X4TO00SZ-6315IUOG},01-03-2010 09:25,VXR0344,PC-4646,R:\;R:\14l9ZR4;R:\37j9sb4;R:\49WD783;R:\VXR0344,Connect
{Z7A6-Y6IS68TN-2627WFUZ},01-03-2010 09:25,RJL0609,PC-5036,,Disconnect
{J5A3-U2RI17PU-9917IRJH},01-03-2010 09:25,RJL0609,PC-5036,R:\;R:\688qC99;R:\72YMKt0;R:\RJL0609,Connect
{T2W5-E8PK67NR-7686SXHC},01-03-2010 09:27,RJL0609,PC-5036,,Disconnect
{S5M7-N5LJ08BP-7553EJLO},01-03-2010 09:27,IAH0551,PC-6967,R:\;R:\94YRb71;R:\IAH0551,Connect
{G6P9-O7BB49LB-4609BJEL},01-03-2010 09:27,DIE1614,PC-1213,,Disconnect
{Q6W3-C0ZK85JQ-2397JENE},01-03-2010 09:29,RPW0421,PC-2218,R:\;R:\RPW0421,Connect
{P8I6-G9WB20HM-4689LTPW},01-03-2010 09:29,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{M2T9-N5YN57CO-9005QLKA},01-03-2010 09:30,STH2849,PC-2145,R:\;R:\62c4xX4;R:\747ZN79;R:\STH2849,Connect
{O4P1-U5FN51EX-9790CSQV},01-03-2010 09:30,DNH3656,PC-3452,R:\;R:\37d69w6;R:\DNH3656,Connect
{Z0Y7-J6GL18BF-2966IOOE},01-03-2010 09:30,RJL0609,PC-5036,R:\;R:\688qC99;R:\72YMKt0;R:\RJL0609,Connect
{X1G0-K1OZ72CD-6660ZBNW},01-03-2010 09:30,STH2849,PC-2145,,Disconnect
{H4U9-C5AK08LY-5643GOZK},01-03-2010 09:30,RPW0421,PC-2218,,Disconnect
{P3V0-A0NY72UM-1893ZIGI},01-03-2010 09:30,DNH3656,PC-3452,,Disconnect
{B2U1-C0YM31GZ-6226BXNE},01-03-2010 09:31,YRS2977,PC-4256,,Disconnect
{H8W4-M3XZ37UA-1171PUMZ},01-03-2010 09:31,RJS0853,PC-9388,R:\;R:\133SJD8;R:\82Q3L75;R:\87Xy623;R:\RJS0853,Connect
{J0B5-P9CL61XA-0886GOTH},01-03-2010 09:31,DNH3656,PC-3452,R:\;R:\37d69w6;R:\DNH3656,Connect
{T6U2-E7EQ55CR-1192CLPM},01-03-2010 09:32,DNH3656,PC-3452,,Disconnect
{Q0D2-E8JU93VL-5282TZRU},01-03-2010 09:32,AKW1191,PC-5242,R:\;R:\27HvN71;R:\899YC59;R:\AKW1191,Connect
{V3X2-W3CV91MG-5199KCGE},01-03-2010 09:33,PWE1562,PC-5650,,Disconnect
{P7H8-I8YW66UH-2733IMTT},01-03-2010 09:33,YRS2977,PC-4256,R:\;R:\YRS2977,Connect
{P3Z4-Q7OJ84MB-7061KOLY},01-03-2010 09:33,WMM1386,PC-1405,,Disconnect
{V2B6-Z0QQ00RV-4586EZFF},01-03-2010 09:33,JCL2626,PC-9929,,Disconnect
{F4T4-X4XU71HH-7412KDUL},01-03-2010 09:35,RJL0609,PC-5036,,Disconnect
{Q6E0-W3NO40XV-1578GACN},01-03-2010 09:37,NAK1843,PC-4613,R:\;R:\64jJ853;R:\NAK1843,Connect
{O3C3-K4HI90MA-3613XYBA},01-03-2010 09:37,APO1524,PC-8823,,Disconnect
{W2M4-T4AX50AV-7432YQOF},01-03-2010 09:39,ODN0148,PC-3209,,Disconnect
{M4T3-Z0MO93LZ-3616CSEE},01-03-2010 09:41,NAK1843,PC-4613,,Disconnect
{D8P0-J5BY24YC-3053FEIE},01-03-2010 09:42,IAH0551,PC-6967,,Disconnect
{C7K7-B3DF64RE-7705CQGJ},01-03-2010 09:43,CWG3213,PC-3912,,Disconnect
{Z3T9-F4IE59AI-2257RXGC},01-03-2010 09:43,ESN1173,PC-1645,R:\;R:\ESN1173,Connect
{A9H8-H4FS71ET-5781WUWN},01-03-2010 09:44,JCC3201,PC-8554,,Disconnect
{F8Q0-N9DZ17LT-1717IUWF},01-03-2010 09:44,SCF2666,PC-3577,R:\;R:\95v71K6;R:\SCF2666,Connect
{E3H9-H2KD35IY-7710RGVE},01-03-2010 09:44,RJL0609,PC-5036,R:\;R:\688qC99;R:\72YMKt0;R:\RJL0609,Connect
{P5X6-L3YQ94PN-1156MXOV},01-03-2010 09:46,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{B3Z2-J7CN77XK-6152MPZB},01-03-2010 09:48,ESN1173,PC-1645,,Disconnect
{H6E7-Q0XB48MR-9807POWD},01-03-2010 09:49,RJL0609,PC-5036,,Disconnect
{C6U0-I9MJ99GH-8752ZCJG},01-03-2010 09:50,RJL0609,PC-5036,R:\;R:\688qC99;R:\72YMKt0;R:\RJL0609,Connect
{K9S8-E6PQ23UY-5707CMPN},01-03-2010 09:50,CHS2823,PC-2766,R:\;R:\28PL423;R:\CHS2823,Connect
{J9F4-I7XZ52HP-7007VIYM},01-03-2010 09:51,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
